# Format: timestamp,récompense,longueur_épisode
1775005408.5233352,0.0,122
1775005469.1184845,0.0,122
1775005529.9170437,0.0,122
1775005590.3892708,0.0,122
1775005650.9844511,0.0,122
1775005711.5460906,0.0,122
1775005772.3303103,0.0,122
1775005832.8860278,0.0,123
1775005893.4095922,0.0,122
1775005954.0128529,0.0,122
1775006014.6153960,0.0,122
1775006075.2149522,0.0,122
1775006135.7068298,0.0,122
1775006196.5160611,0.0,122
1775006257.1186922,0.0,122
1775006317.7843449,0.0,122
1775006378.3966911,0.0,122
1775006439.1573365,0.0,122
1775006499.6217418,0.0,122
1775006560.2292509,0.0,122
1775006620.8421011,0.0,122
1775006681.3992712,0.0,122
1775006741.9754193,0.0,122
1775006802.5416248,0.0,122
1775006863.1403763,0.0,122
1775006923.7107425,0.0,122
1775006984.3105366,0.0,122
1775007044.9172652,0.0,122
1775007105.4723101,0.0,122
1775007166.0913012,0.0,122
1775007226.6959832,0.0,122
1775007287.2525115,0.0,122
1775007347.7913132,0.0,122
1775007408.2942975,0.0,122
1775007468.8635004,0.0,122
1775007529.4690580,0.0,122
1775007590.0511804,0.0,122
1775007650.8690836,0.0,122
1775007711.3328059,0.0,122
1775007771.8926187,0.0,122
1775007832.4916136,0.0,122
1775007893.2420907,0.0,122
1775007953.7437811,0.0,122
1775008014.2762725,0.0,122
1775008074.8376288,0.0,122
1775008135.4430156,0.0,122
1775008195.9939287,0.0,122
1775008256.6398497,0.0,122
1775008317.3197491,0.0,122
1775008377.9194982,0.0,122
1775008438.3841636,0.0,122
1775008498.9872584,0.0,122
1775008559.4690521,0.0,122
1775008620.1045225,0.0,122
1775008680.6988175,0.0,122
1775008741.2992299,0.0,122
1775008802.0016100,0.0,122
1775008862.5658567,0.0,122
1775008923.1787982,0.0,122
1775008983.9259675,0.0,122
1775009044.5279214,0.0,122
1775009105.0748258,0.0,122
1775009165.6526465,0.0,122
1775009226.4553061,0.0,122
1775009287.1296620,0.0,122
1775009347.8164036,0.0,122
1775009408.5867715,0.0,122
1775009469.1854062,0.0,122
1775009529.6936533,0.0,122
1775009590.4521577,0.0,122
1775009651.2488077,0.0,122
1775009711.7978091,0.0,122
1775009772.6174150,0.0,122
1775009833.1894639,0.0,122
1775009893.7969677,0.0,122
1775009954.3785338,0.0,122
1775010014.9100387,0.0,122
1775010075.4646792,0.0,122
1775010135.9906087,0.0,122
1775010196.6012342,0.0,122
1775010257.3727758,0.0,122
1775010317.9554374,0.0,122
1775010378.5060987,0.0,122
1775010439.0940678,0.0,122
1775010499.6850398,0.0,122
1775010560.2722993,0.0,122
1775010620.7722070,0.0,122
1775010681.4186122,0.0,122
1775010741.8880675,0.0,122
1775010802.5124798,0.0,122
1775010863.1358988,0.0,122
1775010923.9466348,0.0,122
1775010984.6605527,0.0,122
1775011045.3927031,0.0,122
1775011106.1730087,0.0,122
1775011166.8222070,0.0,122
1775011227.4390302,0.0,122
1775011288.2372248,0.0,122
1775011348.8345933,0.0,122
1775011409.4872429,0.0,122
1775011470.0069776,0.0,122
1775011530.6090794,0.0,122
1775011591.2454185,0.0,122
1775011651.8039117,0.0,122
1775011712.3728943,0.0,122
1775011772.9390247,0.0,122
1775011833.3934240,0.0,122
1775011893.9828124,0.0,122
1775011954.4360569,0.0,122
1775012014.9932241,0.0,122
1775012075.5936673,0.0,122
1775012136.0400336,0.0,122
1775012196.5040827,0.0,122
1775012257.1915383,0.0,122
1775012317.9584365,0.0,122
1775012378.6463416,0.0,122
1775012439.2097337,0.0,122
1775012499.8904924,0.0,122
1775012560.4730463,0.0,122
1775012620.9400861,0.0,122
1775012681.4019566,0.0,122
1775012741.9958403,0.0,122
1775012802.5714703,0.0,122
1775012863.1121085,0.0,122
1775012923.8399897,0.0,122
1775012984.5369596,0.0,122
1775013045.1611652,0.0,122
1775013105.7746954,0.0,122
1775013166.3614178,0.0,122
1775013226.9863138,0.0,122
1775013287.5580921,0.0,122
1775013348.1772096,0.0,122
1775013408.7178988,0.0,122
1775013469.5123980,0.0,122
1775013530.1211753,0.0,122
1775013590.7423897,0.0,122
1775013651.5335696,0.0,122
1775013711.9978678,0.0,122
1775013772.6158769,0.0,122
1775013833.1513140,0.0,122
1775013893.7278078,0.0,122
1775013954.3197000,0.0,122
1775014014.9078236,0.0,122
1775014075.3739848,0.0,122
1775014135.9044783,0.0,122
1775014196.3772187,0.0,122
1775014256.9895070,0.0,122
1775014317.7125306,0.0,122
1775014378.2118587,0.0,122
1775014438.7738659,0.0,122
1775014499.3768733,0.0,122
1775014559.9704075,0.0,122
1775014620.5171950,0.0,122
1775014681.1251595,0.0,122
1775014741.7037046,0.0,122
1775014802.2332954,0.0,122
1775014862.7543912,0.0,122
1775014923.3245852,0.0,122
1775014983.8867354,0.0,122
1775015044.6716943,0.0,122
1775015105.2315850,0.0,122
1775015165.8240650,0.0,122
1775015226.2744279,0.0,122
1775015286.8413084,0.0,122
1775015347.4537108,0.0,122
1775015407.9431031,0.0,122
1775015468.4346397,0.0,122
1775015528.9887185,0.0,122
1775015589.5391712,0.0,122
1775015650.1027501,0.0,122
1775015710.6706879,0.0,122
1775015771.2329440,0.0,122
1775015831.7667251,0.0,122
1775015892.7440805,0.0,122
1775015953.5507369,0.0,122
1775016014.1359069,0.0,122
1775016074.5981066,0.0,122
1775016135.1586785,0.0,122
1775016195.7082036,0.0,122
1775016256.2648110,0.0,122
1775016316.7451034,0.0,122
1775016377.3696644,0.0,122
1775016437.8789482,0.0,122
1775016498.5395579,0.0,122
1775016559.2194128,0.0,122
1775016619.9717667,0.0,122
1775016680.6865158,0.0,122
1775016741.1464229,0.0,122
1775016801.7016263,0.0,122
1775016862.1607492,0.0,122
1775016922.7163398,0.0,122
1775016983.1797016,0.0,122
1775017043.6268640,0.0,122
1775017104.3886390,0.0,122
1775017164.9300733,0.0,122
1775017225.4578788,0.0,122
1775017286.2823026,0.0,122
1775017346.8659239,0.0,123
1775017407.5077462,0.0,122
1775017468.0023465,0.0,122
1775017528.6025491,0.0,122
1775017589.1885571,0.0,122
1775017649.7371919,0.0,122
1775017710.3204861,0.0,122
1775017770.7955165,0.0,122
1775017831.3951633,0.0,122
1775017891.9995930,0.0,122
1775017952.8814714,0.0,122
1775018013.4808321,0.0,122
1775018074.0492315,0.0,122
1775018134.6659377,0.0,122
1775018195.2439575,0.0,122
1775018255.9228094,0.0,122
1775018316.5785408,0.0,122
1775018377.1484363,0.0,122
1775018437.7617447,0.0,122
1775018498.3857388,0.0,122
1775018558.8323181,0.0,122
1775018619.4306545,0.0,122
1775018679.8914220,0.0,122
1775018740.3859060,0.0,122
1775018800.9444592,0.0,122
1775018861.5294104,0.0,122
1775018922.0801237,0.0,122
1775018982.6525924,0.0,122
1775019043.2050087,0.0,122
1775019103.8692195,0.0,122
1775019164.5851068,0.0,122
1775019225.2908897,0.0,122
1775019286.2393892,0.0,122
1775019346.8503222,0.0,122
1775019407.4551759,0.0,122
1775019467.9242632,0.0,122
1775019528.5447488,0.0,122
1775019589.1693375,0.0,122
1775019649.9048223,0.0,122
1775019710.6292844,0.0,122
1775019771.3805327,0.0,122
